Match Time,Sport,Kategorija,Match Date,Location,Home Team,Away Team,Home Team Score,Away Team Score,Match Result,Officials,Statistics,Tournaments
16:00,Hokej na travi,Seniori,5/10/2025,Hokejski centar,HK Jedinstvo,HK Marathon,,,,,,
18:00,Hokej na travi,Seniori,5/10/2025,Hokejski centar,HK Trešnjevka,HK Concordia 1906,,,,,,
19:00,Hokej na travi,Seniori,5/10/2025,Sportski park Mladost,HAHK Mladost,HK Zrinjevac,,,,,,
19:00,Hokej na travi,Seniori,5/17/2025,Sportski park Mladost,HK Jedinstvo,HAHK Mladost,,,,,,
16:00,Hokej na travi,Seniori,5/17/2025,Sportski park Mladost,HK Zrinjevac,HK Trešnjevka,,,,,,
15:00,Hokej na travi,Seniori,5/17/2025,Hokejski centar,HK Concordia 1906,HK Zelina,,,,,,
18:00,Hokej na travi,Seniori,5/24/2025,Hokejski centar,HK Marathon,HK Concordia 1906,,,,,,
17:00,Hokej na travi,Seniori,5/24/2025,Hokej klub Zelina,HK Zelina,HK Zrinjevac,,,,,,
16:00,Hokej na travi,Seniori,5/24/2025,Hokejski centar,HK Trešnjevka,HAHK Mladost,,,,,,
18:00,Hokej na travi,Seniorke,5/11/2025,Hokejski centar,HK Trešnjevka,HK Zelina,,,,,,
16:30,Hokej na travi,Seniorke,5/11/2025,Sportski park Mladost,HAHK Mladost,HK Zrinjevac,,,,,,
18:00,Hokej na travi,Seniorke,5/25/2025,Hokej klub Zelina,HK Zelina,HAHK Mladost,,,,,,
15:30,Hokej na travi,Seniorke,5/25/2025,Sportski park Mladost,HK Zrinjevac,HK Trešnjevka,,,,,,
14:00,Hokej na travi,Kadeti,5/11/2025,Sportski park Mladost,HK Mladost 2,HK Zrinjevac,,,,,,
16:00,Hokej na travi,Kadeti,5/11/2025,Hokejski centar,HK Jedinstvo,HK Zelina,,,,,,
14:00,Hokej na travi,Kadeti,5/11/2025,Hokejski centar,HK Concordia 1906,HAHK Mladost,,,,,,
13:00,Hokej na travi,Kadeti,5/17/2025,Sportski park Mladost,HK Zrinjevac,HK Concordia 1906,,,,,,
16:00,Hokej na travi,Kadeti,5/17/2025,Sportski park Mladost,HAHK Mladost,HK Jedinstvo,,,,,,
16:00,Hokej na travi,Kadeti,5/17/2025,Hokej klub Zelina,HK Zelina,HK Mladost 2,,,,,,
10:00,Hokej na travi,Kadetkinje,5/17/2025,Sportski park Mladost,HK Zelina,HAHK Mladost,,,,,,
10:30,Hokej na travi,Kadetkinje,5/17/2025,Sportski park Mladost,HK Jedinstvo,HAHK Mladost,,,,,,
11:00,Hokej na travi,Kadetkinje,5/17/2025,Sportski park Mladost,HAHK Mladost,HK Zelina,,,,,,
11:30,Hokej na travi,Kadetkinje,5/17/2025,Sportski park Mladost,HK Jedinstvo,HK Zelina,,,,,,
12:15,Hokej na travi,Mlađi kadeti,5/10/2025,Hokejski centar,HK Jedinstvo,HK Zrinjevac,,,,,,
14:30,Hokej na travi,Mlađi kadeti,5/10/2025,Hokejski centar,HK Trešnjevka,HAHK Mladost,,,,,,
10:00,Hokej na travi,Mlađi kadeti,5/10/2025,Hokejski centar,HK Concordia 1906,HK Zelina,,,,,,
10:00,Hokej na travi,Mlađi kadeti,5/18/2025,Hokej klub Zelina,HK Zelina,HK Trešnjevka,,,,,,
12:00,Hokej na travi,Mlađi kadeti,5/18/2025,Sportski park Mladost,HAHK Mladost,HK Jedinstvo,,,,,,
10:00,Hokej na travi,Mlađi kadeti,5/18/2025,Sportski park Mladost,HK Zrinjevac,HK Mladost 2,,,,,,
10:00,Hokej na travi,Mlađi kadeti,5/24/2025,Sportski park Mladost,HK Mladost 2,HAHK Mladost,,,,,,
10:00,Hokej na travi,Mlađi kadeti,5/24/2025,Hokejski centar,HK Jedinstvo,HK Zelina,,,,,,
11:45,Hokej na travi,Mlađi kadeti,5/24/2025,Hokejski centar,HK Trešnjevka,HK Concordia 1906,,,,,,
11:00,Hokej na travi,Mlađi kadeti,5/31/2025,Hokejski centar,HK Concordia 1906,HK Jedinstvo,,,,,,
11:00,Hokej na travi,Mlađi kadeti,5/31/2025,Hokej klub Zelina,HK Zelina,HK Mladost 2,,,,,,
11:00,Hokej na travi,Mlađi kadeti,5/31/2025,Sportski park Mladost,HAHK Mladost,HK Zrinjevac,,,,,,
9:30,Hokej na travi,Veterani,5/11/2025,Sportski park Mladost,HK Jedinstvo,HAHK Mladost,,,,,,
9:30,Hokej na travi,Veterani,5/11/2025,Sportski park Mladost,HK Trešnjevka,HK Marathon,,,,,,
10:30,Hokej na travi,Veterani,5/11/2025,Sportski park Mladost,HK Jedinstvo,HK Concordia 1906,,,,,,
10:30,Hokej na travi,Veterani,5/11/2025,Sportski park Mladost,HAHK Mladost,HK Trešnjevka,,,,,,
11:30,Hokej na travi,Veterani,5/11/2025,Sportski park Mladost,HK Marathon,HK Concordia 1906,,,,,,
19:00,Hokej na travi,Seniori,9/11/2024,Sportski park Mladost,HK Zelina,HAHK Mladost,5,3,,,,
15:00,Hokej na travi,Seniori,9/14/2024,Sportski park Mladost,HK Trešnjevka,HK Jedinstvo,1,2,,,,
17:30,Hokej na travi,Seniori,9/14/2024,Sportski park Mladost,HK Marathon,HK Zrinjevac,4,1,,,,
20.30,Hokej na travi,Seniori,9/18/2024,Sportski park Mladost,HK Jedinstvo,HK Concordia 1906,2,7,,,,
16:30,Hokej na travi,Seniori,9/21/2024,Sportski park Mladost,HK Trešnjevka,HK Zelina,1,10,,,,
18:30,Hokej na travi,Seniori,9/21/2024,Sportski park Mladost,HAHK Mladost,HK Marathon,9,2,,,,
17:00,Hokej na travi,Seniori,9/28/2024,Sportski park Mladost,HK Marathon,HK Trešnjevka,7,8,,,,
17:00,Hokej na travi,Seniori,9/28/2024,Sportski park Mladost,HK Zelina,HK Jedinstvo,9,1,,,,
