Name,Sport,Notes,Assignee,Status,Momčadi,Događanje
Seniori,Hokej na travi,,,,"HK Jedinstvo,HK Marathon,HK Trešnjevka,HK Concordia 1906,HAHK Mladost,HK Zrinjevac,HK Zelina","16:00,18:00,19:00,19:00,16:00,15:00,18:00,17:00,16:00,19:00,15:00,17:30,20.30,16:30,18:30,17:00,17:00,18:45,16:00,18:00,19:30,20:00,16:00,16:30,18:00,15:00,19:00,14:30,18:30,18:30,14:30,15:00,15:30,16:00,19:30"
Seniorke,Hokej na travi,,,,"HK Trešnjevka,HK Zelina,HAHK Mladost,HK Zrinjevac","18:00,16:30,18:00,15:30,17:00,18:00,15:00,17:00,16:00,15:00,15:00,17:30,11:00,14:30,16:00,17:00,14:00,16:00,17:00,17:30"
Kadeti,Hokej na travi,,,,"HK Mladost 2,HK Jedinstvo,HK Concordia 1906,HAHK Mladost,HK Zrinjevac,HK Zelina","14:00,16:00,14:00,13:00,16:00,16:00,13:30,14:00,20:45,13:00,12:30,14:15,10:00,12:30,12:45,12:30,20:45,19:45,13:00,16:00,18:00,11:00,13:00,17:00"
Kadetkinje,Hokej na travi,,,,"HK Zelina,HAHK Mladost,HK Jedinstvo","10:00,10:30,11:00,11:30,9:30,10:00,10:30,11:00"
Mlađi kadeti,Hokej na travi,,,,"HK Jedinstvo,HK Zrinjevac,HK Trešnjevka,HAHK Mladost,HK Concordia 1906,HK Zelina","12:15,14:30,10:00,10:00,12:00,10:00,10:00,10:00,11:45,11:00,11:00,11:00,11:00,12:15,13:30,12:30,13:30,20:45,13:00,14:30,20:45,10:00,13:00,14:30,10:00,12:00,14:00,10:00,13:00,13:30,10:00,11:30,12:00,11:00,11:00,13:00,9:30,11:00,12:30"
Veterani,Hokej na travi,,,,"HK Jedinstvo,HAHK Mladost,HK Trešnjevka,HK Marathon,HK Concordia 1906","9:30,9:30,10:30,10:30,11:30"
1. seniorska liga,Šah,,,,"ŠK Sesvete-Agroproteinka,ŠK Novi Zagreb,ŠKRM Caissa",
2. seniorska liga Centar,Šah,,,,"ŠKRM Caissa,ŠK Stjepan Bosak-URIHO",
3. seniorska liga Centar A,Šah,,,,"ŠK Odra,ŠK Špansko",
4. seniorska liga Centar A,Šah,,,,"ŠK AER,ŠK Prigorje,""ŠK Vrustun 1252, Vurnovec"",ŠK SIlent,ŠK Podsused,ŠK INA,ŠK Končar,ŠK Travno",
