Venue Name,Address,Capacity,Facilities,Photo,Matches Hosted,Tournaments Hosted,Sport
Hokejski centar,Zagorska 5,,,,"16:00,18:00,15:00,18:00,16:00,18:00,16:00,14:00,12:15,14:30,10:00,10:00,11:45,11:00",,Hokej na travi
Sportski park Mladost,Jarunska 5,,,,"19:00,19:00,16:00,16:30,15:30,14:00,13:00,16:00,10:00,10:30,11:00,11:30,12:00,10:00,10:00,11:00,9:30,9:30,10:30,10:30,11:30,19:00,15:00,17:30,20.30,16:30,18:30,17:00,17:00,18:45,16:00,18:00,19:30,20:00,16:00,16:30,18:00,15:00,19:00,14:30,18:30,18:30,14:30,15:00,15:30,16:00,19:30,17:00,18:00,15:00,17:00,16:00,15:00,15:00,17:30,11:00,14:30,16:00,17:00,14:00,16:00,17:00,17:30,13:30,14:00,20:45,13:00,12:30,14:15,10:00,12:30,12:45,12:30,20:45,19:45,13:00,16:00,18:00,11:00,13:00,17:00,9:30,10:00,10:30,11:00,11:00,12:15,13:30,12:30,13:30,20:45,13:00,14:30,20:45,10:00,13:00,14:30,10:00,12:00,14:00,10:00,13:00,13:30,10:00,11:30,12:00,11:00,11:00,13:00,9:30,11:00,12:30,14:00,13:00,14:00",,"Hokej na travi,Ragbi"
Hokej klub Zelina,"Sajmišna ulica, Sveti Ivan Zelina",,,,"17:00,18:00,16:00,10:00,11:00",,Hokej na travi
Zagrebački šahovski savez,Masarykova 22/3,,,,,,Šah
Igralište Hrelić,Svetog Mateja 86,,,,"17:30,17:30,17:00,16:30,16:00,15:30,14:00,16:00,17:00,17:30,17:30,18:00,18:00,18:00",,Nogomet
Igralište Pongračevo,Klanječka ulica BB,,,,"17:30,17:00,16:30,16:30,16:00,15:30,14:00,13:30,15:30,16:00,17:00,17:30,18:00,18:00",,Nogomet
SC Savica,Avenija Marina Držića 102,,,,"17:30,17:30,17:00,17:00,17:00,16:00,16:00,15:30,15:30,19:00,14:00,14:00,13:30,13:30,13:30,15:30,15:30,16:00,17:00,17:00,17:30,18:00,17:30,17:00,17:30,18:00,18:00,18:00,18:00",,Nogomet
Nogometno igralište Mala Mlaka,Malomlačka 91,,,,"17:30,17:30,16:30,16:00,15:30,14:00,13:30,13:30,15:30,16:00,17:00,17:30,18:00,18:00",,Nogomet
Brezovica,Brezovička cesta 96a,,,,"17:30,17:00,16:30,16:30,16:00,15:30,14:00,13:30,15:30,16:00,17:00,17:30,18:00,18:00",,Nogomet
Hrvatski Leskovac,Jezerska ulica 6a,,,,"17:30,17:00,16:30,16:00,15:30,14:30,14:00,13:30,15:30,16:00,17:00,17:30,17:30,18:00",,Nogomet
Kašina,Cesta Ivana Mažuranića 26,,,,"17:30,17:00,16:30,16:00,15:30,14:30,14:00,13:30,15:30,16:00,17:00,17:30,18:00,18:00",,Nogomet
Prigorje Markuševec,Markuševečka cesta 160,,,,"17:30,18:00,14:00,16:00,15:30,14:30,14:00,13:30,15:30,16:00,17:00,17:30,17:30,18:00",,Nogomet
Prečko,Petrovaradinska ulica,,,,"17:30,17:00,16:30,16:00,15:30,14:00,13:30,13:30,15:30,16:00,16:00,17:30,17:30",,Nogomet
Žerjavinec,"Omladinska ulica 4, Žerjavinces",,,,"17:30,17:00,16:00,15:30,14:30,14:00,13:30,15:30,16:00,16:00,17:00,17:30,17:30,18:00",,Nogomet
Studentski grad,Ulica Gjure Prejca,,,,"17:30,17:30,17:00,16:30,16:00,14:30,14:00,13:30,15:30,16:00,16:00,17:00,17:30,17:30,17:30,18:00",,Nogomet
Botinec,Lesičine ulice,,,,"17:30,17:00,16:30,15:30,14:30,14:00,13:30,12:00,16:00,16:00,17:00,17:30,17:30,18:00",,Nogomet
Buzin,Mladosti ul. odv. III,,,,"17:30,10:00,10:00,10:00,10:00,10:00,10:00,15:30,10:00,20:00,10:00,10:00,17:30,18:00",,Nogomet
Gredice,Gredice 159,,,,"17:00,16:30,16:00,15:30,14:30,14:00,13:30,15:30,17:30,16:00,17:00,17:30,17:30,18:00",,Nogomet
Ragbi centar Rudeš,Sošička b.b.,,,,"14:30,14:00,15:00,14:30",,Ragbi
SC Ivan Poljak i Andrija Alčić,Put Piketa 41,,,,,,Ragbi
"Igralište RK Nada ""Stari Plac""",Ulica Zrinsko Frankopanska 17,,,,"14:00,13:00,14:00,14:00",,Ragbi
,,,,,,,
Sinj,,,,,"15:00,14:00,15:00,15:00",,
