Team Name,Kategorija,Sport,Team Logo,Members,Wins,Losses,Draws,Total Points,Team Record,Tournaments Participated,Matches (Home Team),Matches (Away Team)
HK Jedinstvo,"Seniori,Kadeti,Kadetkinje,Mlađi kadeti,Veterani",Hokej na travi,jedinstvo.png (https://v5.airtableusercontent.com/v3/u/40/40/1745618400000/44YvZ4pQiM7FcJP8AHmA4g/jk6jhE_4Z7ylO37lN5s7--fwtx3U7hZ7Ea1KRelp0ozQmusbpGWiE_GVZ0STaKHA3BpZokVQa64e0uTM0VOTuNlabK-EzhwLs6GTbOWq5pXtKzS8bGaewgf9uRnwV3CHECS0ERXQeA-FTkvCcf70Ue2KvLq9FhiqfjIPVRCQwNU/zpyg7pBg3_GcJpQWPiIzeHt8iEVUukXYIQSGEpTlEg4),,,,,,,,"16:00,19:00,16:00,10:30,11:30,12:15,10:00,9:30,10:30,20.30,16:00,19:00,14:30,10:00,19:45,16:00,17:00,11:00,13:00,12:00,12:00,11:00","16:00,12:00,11:00,15:00,17:00,18:00,15:30,13:30,13:00,9:30,10:00,12:15,13:00,10:00"
HK Marathon,"Seniori,Veterani",Hokej na travi,khk marathon.png (https://v5.airtableusercontent.com/v3/u/40/40/1745618400000/Muck49ebv0rp9MN1hLup-A/KXnxLyk9572NhvZp5-mZx7VAm3czlbqAg1YucsgP17pHMy66u7LVrtvEjvlKa8ucHj82AOSw6ufiT0IngU9thHw-oh_RXMxpy6HLxf-zKl17fwwZmsQar3tK6g6fbWGDppdsmOcsKA47TN7k4OU9SYmQSxrS9w55Fkg2WVVLQ2Y/5wr0ClXE55AXDy02_Ur-syftJSb6FlB3aFKRYxgBjfQ),,,,,,,,"18:00,11:30,17:30,17:00,18:00,19:30","16:00,9:30,18:30,18:00,18:30,15:00"
HK Trešnjevka,"Seniori,Seniorke,Mlađi kadeti,Veterani",Hokej na travi,trešnjevka hk.png (https://v5.airtableusercontent.com/v3/u/40/40/1745618400000/iBsETmOdaJJh7dMyq0ZZ3w/K9gUwArZ4TZIrPewi1W3k8UWuiaRXDsq3qZGoBrT7SLPlfBSA1PnlHFMceWhyejllgO9XgDvPBhy_PkiC3Dy_xh1RCil0b4WAUKGykYAo5BFVDT-83TkfXJAS-lvy_-93gDITrwpdZ8mo4qiGkW_7X_KJ3QSj1U1Z2H8jv1sziI/-Kl-Nc2Q_XstKgP1eSUq9P9bwK-3Kajk2bBaKEROKQg),,,,,,,,"18:00,16:00,18:00,14:30,11:45,9:30,15:00,16:30,15:00,18:00,15:00,17:00,12:15,20:45,14:00,11:00","16:00,15:30,10:00,10:30,17:00,16:00,18:30,14:30,16:00,16:00,15:00,11:00,16:00,17:30,13:30,14:30,13:30,11:00"
HK Concordia 1906,"Seniori,Kadeti,Mlađi kadeti,Veterani",Hokej na travi,concordia.png (https://v5.airtableusercontent.com/v3/u/40/40/1745618400000/aR7Hfvv2cN430fsYsaklfw/LFpyEu_X0ryZCvym59PQ7dfhsCV7iDCBmB3GZmAsGilLMP16jbM96KVcY4PLU8LCr-Jq06nnE0FGZCnHx9IgD5hUmeiSGaGswR2rgmozwCGaBhEL9aQXv3XxyHubY4AHS9c_BjRArOduTIxZi0Gm_da3JkudYJWbQsrWiavixN8/qB-pWQXApTD1Sk0U2N51Irp6kA_6mcrPXjI3mwm1jpw),,,,,,,,"15:00,14:00,10:00,11:00,18:45,16:00,18:30,15:30,13:30,12:45,18:00,13:30,14:30,13:30,12:30","18:00,18:00,13:00,11:45,10:30,11:30,20.30,19:30,20:00,14:15,12:30,17:00,12:30,10:00,12:00,11:00"
HAHK Mladost,"Seniori,Seniorke,Kadeti,Kadetkinje,Mlađi kadeti,Veterani",Hokej na travi,mladost.png (https://v5.airtableusercontent.com/v3/u/40/40/1745618400000/vNavCF6X7GCIr9MAn47F3w/tqDpSblH8fYlGJfbyvuJZCGQ6QAxS6cpaSdRaLc4abenRgIuh73zwTvN517nqyKrui6pEx8jHgOrnmuH4_kDHeymqt-7ZMsmSCQ5gSAZbCNj6oEwh3buL6mnBZM0MdzVbWoYazDtfFYHrwODAaYGnCIYvcCIwGtEVmVcOSmcrkQ/CRjIF7yVtE5ZP5epeX_EFYjg-aAIDxm1zizOR-bysxA),,,,,,,,"19:00,16:30,16:00,11:00,12:00,11:00,10:30,18:30,19:30,18:30,17:00,15:00,16:00,16:00,20:45,12:30,12:30,9:30,20:45,14:30,13:00","19:00,16:00,18:00,14:00,10:00,10:30,14:30,10:00,9:30,19:00,16:30,19:00,19:30,18:00,15:00,14:30,17:00,12:30,16:00,13:00,10:30,14:30,12:00,10:00,9:30"
HK Zrinjevac,"Seniori,Seniorke,Kadeti,Mlađi kadeti",Hokej na travi,zrinjevac.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745618400000/HKkmujow8ba_6vCtazkatg/yl5y2QxqPYuUULewvPl-dDIHdCLkWHa81xN1kwi-drgsmkmwUTPdBtl_3hTT-RSjFktTlw_g87BleIqmpNWEcb6Soz7-J_HteHsSBiSLHLNJFgxTA2ihNyimdC4yIeURWYLqHZl1kKewEAdGqwhq7ufXIRYkCHEh22rvyF6OswY/9GW-fJxhdN0TwZ6ylix1nFrHrZn4cj8PpzzR43fA_Rw),,,,,,,,"16:00,15:30,13:00,10:00,16:30,14:30,15:00,16:00,17:30,14:30,14:00,17:00,13:00,20:45,11:00,12:30,13:00,10:00,13:00","19:00,17:00,16:30,14:00,12:15,11:00,17:30,18:45,16:00,15:00,17:00,17:00,17:00,14:00,12:30,18:00,11:00,20:45,10:00,12:30"
HK Zelina,"Seniori,Seniorke,Kadeti,Kadetkinje,Mlađi kadeti",Hokej na travi,HK zelina.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745618400000/d8LYwrs-vKsqxZmH0syzlA/X3JJmGBhfya-8SylJqX7OEc9oKS1Wtm0zo7zITjt9CywA9os4hcbRxq4QWgZCR_N7ZFzOpcf6yT30YYSGqyzMLP2Zg1l60wTcFW0YMxiEAj2tZeOFO5fIEW0YEvqKTPbhwZSggIBo3n5OVkZ9diBb5x3DcfXFMP2VVGinavnNvo/bjRdA8UY09w4d5229mIYhQd4zuilclpR4MbxFkgDsAo),,,,,,,,"17:00,18:00,16:00,10:00,10:00,11:00,19:00,17:00,18:00,20:00,16:00,17:00,15:00,11:00,17:30,14:00,12:30,10:00,10:30,11:00,10:00,10:00,9:30","15:00,18:00,16:00,11:00,11:30,10:00,10:00,16:30,14:30,15:00,17:30,16:00,14:00,12:45,19:45,13:00,11:00,11:00,20:45,14:00,11:30,13:00"
HK Mladost 2,Kadeti,Hokej na travi,mladost.png (https://v5.airtableusercontent.com/v3/u/40/40/1745618400000/r2G7Aahk8T7HBydo722U3Q/j-w7rqc7h4i6ah_w8qNtSUwAAhxjFRl81C5jcn4WUbX81LI_G7Ra877QKMqAmkWjm9XEfb8xk-eXoAq1EjvNt83SeiD91_EiZfM9wmQcvN2-TfbG2V4Ty6itUREGLW7fmbf2YdBQSF9b3lyd6L88I1sleQT_1Z0nOA9FT-C52ds/Z9RE9QfyNJNdmfP8FaqFxNNqWOm-g3TFr6pFutZvXUY),,,,,,,,"14:00,10:00,14:15,13:00,13:00,13:30,10:00,11:30,11:00","16:00,10:00,11:00,20:45,10:00,20:45,13:30,13:00,13:00,11:00"
ŠK Sesvete-Agroproteinka,1. seniorska liga,Šah,agro.png (https://v5.airtableusercontent.com/v3/u/40/40/1745618400000/kMDMvGSBpv7zJ6XXFbOjdA/Cxt16I9aeaM1pfMiPQk7aGdvwoI46edeVtIkUPvCDnsVbfJf9qEbEnNL4AupD_8P-dwQFu15s830GpprlaeJXgwMXFdx4YA3A1Hl11v2wy33drzssYDCN-2iFK39uPgB2pdOT6ffuuK3lzPhS7qaKQ/v1dH3-hTdXLhZMi5D_Hcr294_TUjvqEYZOZTRwrZqCU),,,,,,,Kup Grada Zagreba 2025.,,
ŠK Novi Zagreb,1. seniorska liga,Šah,ŠK Novi Zagreb.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745618400000/cf7h81aCy0eILB3tsX4m3A/drQ-6lsy1KQMTtJAXXC9m4vbwaJ7_QmcBLPSSKaQNvdCtR7fPpz0la6hb4d0slmJPGc2iV4yxeeZiPMK7aohz5LirAQFEjuhqqajFtRhyEiZGv1C9-4ixcKaY38wQe905lFIBkMU0BCSr08mj43zPdRq08CrT37K8ZovgvA9yXY/Kb7PwPGLlMa7_IFAqYHIE-YpPGzffTsIb61n-5Z0W_M),,,,,,,Kup Grada Zagreba 2025.,,
